California, Precipitation, February
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,2.36,-1.49
199102,2.24,-1.61
199202,5.98,2.13
199302,5.98,2.13
199402,3.96,0.11
199502,1.27,-2.58
199602,5.99,2.14
199702,0.71,-3.14
199802,11.50,7.65
199902,4.98,1.13
200002,6.93,3.08
200102,4.42,0.57
200202,1.45,-2.40
200302,2.66,-1.19
200402,5.88,2.03
200502,4.03,0.18
200602,2.69,-1.16
200702,4.24,0.39
200802,2.76,-1.09
200902,4.64,0.79
201002,3.65,-0.20
201102,3.34,-0.51
201202,1.22,-2.63
201302,0.58,-3.27
201402,4.02,0.17
201502,2.86,-0.99
201602,1.21,-2.64
201702,7.94,4.09
201802,0.57,-3.28
201902,8.57,4.72
202002,0.21,-3.64
