California, Precipitation, June
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,0.18,-0.17
199106,0.32,-0.03
199206,0.71,0.36
199306,0.87,0.52
199406,0.10,-0.25
199506,0.95,0.60
199606,0.18,-0.17
199706,0.65,0.30
199806,0.77,0.42
199906,0.25,-0.10
200006,0.31,-0.04
200106,0.23,-0.12
200206,0.07,-0.28
200306,0.04,-0.31
200406,0.08,-0.27
200506,0.67,0.32
200606,0.15,-0.20
200706,0.12,-0.23
200806,0.03,-0.32
200906,0.60,0.25
201006,0.26,-0.09
201106,0.92,0.57
201206,0.32,-0.03
201306,0.38,0.03
201406,0.06,-0.29
201506,0.23,-0.12
201606,0.27,-0.08
201706,0.26,-0.09
201806,0.07,-0.28
201906,0.09,-0.26
202006,0.15,-0.20
