California, Precipitation, May
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,2.46,1.58
199105,0.82,-0.06
199205,0.23,-0.65
199305,1.44,0.56
199405,1.35,0.47
199505,1.73,0.85
199605,2.01,1.13
199705,0.38,-0.50
199805,3.03,2.15
199905,0.33,-0.55
200005,0.94,0.06
200105,0.15,-0.73
200205,0.59,-0.29
200305,1.09,0.21
200405,0.45,-0.43
200505,2.54,1.66
200605,0.73,-0.15
200705,0.32,-0.56
200805,0.54,-0.34
200905,1.24,0.36
201005,1.07,0.19
201105,1.44,0.56
201205,0.20,-0.68
201305,0.62,-0.26
201405,0.35,-0.53
201505,0.93,0.05
201605,0.77,-0.11
201705,0.43,-0.45
201805,0.66,-0.22
201905,2.50,1.62
202005,1.20,0.32
