California, Precipitation, November
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,0.71,-1.82
199111,1.07,-1.46
199211,0.59,-1.94
199311,1.42,-1.11
199411,3.73,1.20
199511,0.36,-2.17
199611,3.35,0.82
199711,3.95,1.42
199811,4.34,1.81
199911,2.20,-0.33
200011,0.79,-1.74
200111,4.21,1.68
200211,3.18,0.65
200311,2.35,-0.18
200411,1.68,-0.85
200511,2.26,-0.27
200611,2.08,-0.45
200711,0.82,-1.71
200811,2.41,-0.12
200911,0.99,-1.54
201011,2.60,0.07
201111,1.69,-0.84
201211,3.57,1.04
201311,0.99,-1.54
201411,1.84,-0.69
201511,1.87,-0.66
201611,2.16,-0.37
201711,2.98,0.45
201811,2.81,0.28
201911,1.61,-0.92
