California, Precipitation, September
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,0.41,-0.04
199109,0.24,-0.21
199209,0.05,-0.40
199309,0.04,-0.41
199409,0.34,-0.11
199509,0.07,-0.38
199609,0.27,-0.18
199709,0.94,0.49
199809,0.74,0.29
199909,0.18,-0.27
200009,0.35,-0.10
200109,0.30,-0.15
200209,0.11,-0.34
200309,0.17,-0.28
200409,0.14,-0.31
200509,0.32,-0.13
200609,0.06,-0.39
200709,0.50,0.05
200809,0.04,-0.41
200909,0.09,-0.36
201009,0.16,-0.29
201109,0.28,-0.17
201209,0.10,-0.35
201309,0.77,0.32
201409,0.72,0.27
201509,0.33,-0.12
201609,0.10,-0.35
201709,0.43,-0.02
201809,0.06,-0.39
201909,0.61,0.16
202009,0.04,-0.41
