California, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,-2.54,-2.68
199108,-1.30,-1.44
199208,-2.86,-3.00
199308,2.89,2.75
199408,-2.41,-2.55
199508,5.71,5.57
199608,2.16,2.02
199708,-2.86,-3.00
199808,6.60,6.46
199908,0.52,0.38
200008,-0.79,-0.93
200108,-2.89,-3.03
200208,-3.28,-3.42
200308,-0.01,-0.15
200408,-3.23,-3.37
200508,4.08,3.94
200608,-1.10,-1.24
200708,-4.42,-4.56
200808,-4.20,-4.34
200908,-3.28,-3.42
201008,1.53,1.39
201108,3.50,3.36
201208,-1.58,-1.72
201308,-3.23,-3.37
201408,-6.35,-6.49
201508,-4.75,-4.89
201608,-2.55,-2.69
201708,-0.98,-1.12
201808,-2.71,-2.85
201908,-0.35,-0.49
202008,-1.90,-2.04
