California, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,-2.83,-3.01
199107,-1.43,-1.61
199207,-2.99,-3.17
199307,3.02,2.84
199407,-2.22,-2.40
199507,6.26,6.08
199607,2.88,2.70
199707,-3.08,-3.26
199807,7.17,6.99
199907,0.50,0.32
200007,-0.80,-0.98
200107,-2.79,-2.97
200207,-3.07,-3.25
200307,-0.19,-0.37
200407,-3.26,-3.44
200507,4.58,4.40
200607,-0.68,-0.86
200707,-4.47,-4.65
200807,-4.22,-4.40
200907,-3.27,-3.45
201007,1.94,1.76
201107,3.84,3.66
201207,-1.74,-1.92
201307,-3.51,-3.69
201407,-7.01,-7.19
201507,-4.85,-5.03
201607,-2.30,-2.48
201707,-0.75,-0.93
201807,-2.41,-2.59
201907,-0.11,-0.29
202007,-1.63,-1.81
