California, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,-2.85,-2.94
199106,-1.95,-2.04
199206,-2.93,-3.02
199306,3.06,2.97
199406,-2.04,-2.13
199506,5.76,5.67
199606,3.08,2.99
199706,-3.03,-3.12
199806,6.04,5.95
199906,0.31,0.22
200006,-0.44,-0.53
200106,-2.66,-2.75
200206,-2.76,-2.85
200306,1.53,1.44
200406,-2.80,-2.89
200506,3.83,3.74
200606,-0.14,-0.23
200706,-4.28,-4.37
200806,-3.98,-4.07
200906,-3.39,-3.48
201006,1.93,1.84
201106,3.42,3.33
201206,-1.86,-1.95
201306,-3.28,-3.37
201406,-6.77,-6.86
201506,-5.13,-5.22
201606,-1.88,-1.97
201706,-0.26,-0.35
201806,-2.29,-2.38
201906,2.98,2.89
202006,-1.48,-1.57
