California, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199011,-3.26,-3.23
199111,-2.05,-2.02
199211,-2.93,-2.90
199311,-1.12,-1.09
199411,0.59,0.62
199511,1.86,1.89
199611,1.86,1.89
199711,0.71,0.74
199811,5.48,5.51
199911,-1.01,-0.98
200011,-0.76,-0.73
200111,-2.24,-2.21
200211,0.09,0.12
200311,-1.28,-1.25
200411,1.26,1.29
200511,2.42,2.45
200611,-1.91,-1.88
200711,-3.88,-3.85
200811,-4.13,-4.10
200911,-3.00,-2.97
201011,1.84,1.87
201111,-0.45,-0.42
201211,0.24,0.27
201311,-3.40,-3.37
201411,-5.22,-5.19
201511,-4.30,-4.27
201611,1.24,1.27
201711,-1.41,-1.38
201811,-2.79,-2.76
201911,-1.30,-1.27
